	0
YBR171W_fc	1
YBR172C_fc	1
YBR173C_fc	1
YBR177C_fc	1
YBR177C_fc_intermediate_1	1
YBR181C_fc	1
YBR182C_fc	1
YBR183W_fc	1
YBR183W_fc_intermediate_1	1
YBR183W_fc_intermediate_2	1
YBR185C_fc	1
YBR189W_fc	1
YBR191W_fc	1
YBR196C_fc	1
YBR199W_fc	1
YBR202W_fc	1
YBR207W_fc	1
YBR208C_fc	1
YBR212W_fc	1
YBR214W_fc	1
YBR218C_fc	1
YBR221C_fc	1
YBR222C_fc	1
YBR230C_fc	1
YBR230C_fc_intermediate_1	1
YBR230C_fc_intermediate_2	1
YBR234C_fc	1
YBR236C_fc	1
YBR239C_fc	1
YBR241C_fc	1
YBR242W_fc	1
YBR243C_fc	1
YBR244W_fc	1
YBR244W_fc_andNotIntermediate	1
YBR244W_fc_intermediate_1	1
YBR244W_fc_intermediate_2	1
YBR244W_fc_intermediate_3	1
YBR247C_fc	1
YBR248C_fc	1
YBR249C_fc	1
YBR249C_fc_intermediate_1	1
YBR251W_fc	1
YBR252W_fc	1
YBR254C_fc	1
YBR256C_fc	1
YBR262C_fc	1
YBR263W_fc	1
YBR263W_fc_intermediate_1	1
YBR265W_fc	1
YBR268W_fc	1
YBR269C_fc	1
YBR269C_fc_intermediate_1	1
YBR272C_fc	1
YBR282W_fc	1
YBR283C_fc	1
YBR286W_fc	1
YBR287W_fc	1
YBR290W_fc	1
YBR291C_fc	1
YBR294W_fc	1
YBR296C_fc	1
YBR296C_fc_intermediate_1	1
YBR297W_fc	1
YBR298C_fc	1
YCL001W_fc	1
YCL002C_fc	1
YCL005W_fc	1
YCL009C_fc	1
YCL009C_fc_intermediate_1	1
YCL011C_fc	1
YCL011C_fc_intermediate_1	1
YCL012C_fc	1
YCL017C_fc	1
YCL018W_fc	1
YCL028W_fc	1
YCL028W_fc_intermediate_1	1
YCL028W_fc_intermediate_2	1
YCL030C_fc	1
YCL034W_fc	1
YCL035C_fc	1
YCL035C_fc_intermediate_1	1
YCL035C_fc_intermediate_2	1
YCL037C_fc	1
YCL038C_fc	1
YCL040W_fc	1
YCL040W_fc_intermediate_1	1
YCL043C_fc	1
YCL043C_fc_intermediate_1	1
YCL045C_fc	1
YCL047C_fc	1
YCL050C_fc	1
YCL054W_fc	1
YCL056C_fc	1
YCL057W_fc	1
YCL059C_fc	1
YCL059C_fc_intermediate_1	1
YCL063W_fc	1
YCR002C_fc	1
YCR004C_fc	1
YCR005C_fc	1
YCR005C_fc_intermediate_1	1
YCR005C_fc_intermediate_2	1
YCR009C_fc	1
YCR010C_fc	1
YCR011C_fc	1
YCR012W_fc	1
YCR012W_fc_intermediate_1	1
YCR017C_fc	1
YCR021C_fc	1
YCR021C_fc_intermediate_1	1
YCR023C_fc	1
YCR028C_fc	1
YCR030C_fc	1
YCR031C_fc	1
YCR034W_fc	1
YCR034W_fc_intermediate_1	1
YCR034W_fc_intermediate_2	1
YCR037C_fc	1
YCR046C_fc	1
YCR053W_fc	1
YCR057C_fc	1
YCR059C_fc	1
YCR061W_fc	1
YCR065W_fc	1
YCR069W_fc	1
YCR079W_fc	1
YCR084C_fc	1
YCR088W_fc	1
YCR093W_fc	1
YCR094W_fc	1
YCR095C_fc	1
YDL001W_fc	1
YDL004W_fc	1
YDL006W_fc	1
YDL007W_fc	1
YDL010W_fc	1
YDL012C_fc	1
YDL014W_fc	1
YDL015C_fc	1
YDL018C_fc	1
YDL019C_fc	1
YDL020C_fc	1
YDL021W_fc	1
YDL022W_fc	1
YDL022W_fc_intermediate_1	1
YDL022W_fc_intermediate_2	1
YDL025C_fc	1
YDL029W_fc	1
YDL040C_fc	1
YDL045C_fc	1
YDL046W_fc	1
