	1
YBR240C	1
YBR241C	1
YBR242W	1
YBR243C	1
YBR244W	1
YBR245C	1
YBR246W	1
YBR247C	1
YBR248C	2
YBR249C	3
YBR250W	1
YBR251W	3
YBR252W	2
YBR253W	1
YBR254C	1
YBR255W	1
YBR255C-A	2
YBR256C	2
YBR257W	2
YBR258C	2
YBR259W	1
YBR260C	2
YBR261C	1
YBR262C	1
YBR263W	1
YBR264C	1
YBR265W	1
YBR267W	1
YBR266C	2
YBR268W	2
YBR269C	2
YBR270C	3
YBR271W	2
YBR272C	3
YBR273C	3
YBR274W	2
YBR275C	3
YBR276C	1
YBR277C	2
YBR278W	1
YBR279W	2
YBR280C	4
YBR281C	3
YBR282W	2
YBR283C	2
YBR284W	0
YBR285W	1
YBR286W	1
YBR287W	1
YBR288C	2
YBR289W	2
YBR290W	1
YBR291C	1
YBR292C	1
YBR293W	1
YBR294W	1
YBR295W	1
YBR296C	1
YBR296C-A	1
YBR297W	1
YBR298C	1
YBR298C-A	1
YBR299W	1
YBR300C	1
YBR301W	1
YBR302C	1
